word,count
for,508417
covid,491151
19,470552
we,453723
help,451044
need,436425
whatshappeninginmyanmar,436148
myanmarneedso2,422852
july11coup,390271
the,321300
in,216258
to,214978
of,204713
and,141668
military,129274
against,90309
dictatorship,90263
strike,88386
from,80230
by,78683
people,75559
on,70148
oxygen,68619
are,67024
amp,61249
is,58995
junta,57567
protest,53572
myanmar,49036
as,48193
tsp,47942
this,47665
with,45686
residents,41993
covid19,40174
village,37324
11,35453
sac,34631
mandalay,34560
was,34009
staged,33523
july,33384
township,32394
their,32281
will,31381
coup,31208
democracy,30898
who,30724
marched,29306
at,26909
despite,26370
never,26349
anti,25756
night,24050
they,23691
he,22764
today,22539
rapporteurun,22251
it,22154
us,21789
that,21509
not,21182
please,20833
all,20433
terrorists,20316
youths,20293
dawei,20277
have,19765
international,19620
were,19526
regime,19260
overthrow,19127
streets,18987
antonioguterres,18704
state,18609
uninmyanmar,18597
abducted,18287
die,18236
pro,18031
get,17512
locals,17469
ask,17392
usembassyburma,17219
2021,17153
providing,17137
asean,17077
wants,17004
helps,16892
afternoon,16883
wave,16238
civilians,15823
morning,15777
monywa,15607
can,15441
coronavirus,15167
protesting,14834
day,14532
stop,14500
dictator,14390
no,14182
you,13982
protested,13619
be,13584
march,13584
our,13530
cases,13254
also,13105
due,13093
took,12801
hpakant,12665
yangon,12648
new,12598
slogans,12594
about,12565
has,12409
held,12198
genocidal,12182
vaccine,11651
but,11567
protesters,11416
under,11357
launglon,11354
now,11305
revolutionary,11236
so,11192
kachin,11184
demand,10807
death,10680
patients,10639
terrorist,10525
tonight,10249
continued,10223
namti,10049
up,9909
out,9747
region,9638
time,9634
union,9523
kale,9501
guerrilla,9500
security,9489
health,9385
an,9329
pandemic,9285
area,9208
candlelight,9204
salingyi,9030
crisis,8972
video,8898
end,8595
deaths,8558
led,8543
powerful,8438
down,8433
third,8308
council,8273
since,8237
demonstrated,8233
sagaing,8200
motorbikes,8193
or,8175
evening,8078
being,7993
nothing,7932
sun,7927
freedom,7888
fire,7635
tight,7613
students,7598
support,7539
forces,7518
villages,7493
rally,7472
revolution,7398
district,7377
flowers,7360
even,7291
home,7242
where,7207
shot,7195
don,7148
win,7116
crimesagainsthumanity,6983
oppose,6894
public,6877
raided,6851
which,6820
motorcycle,6799
must,6781
rallied,6728
been,6684
daily,6600
thar,6595
sangha,6542
myanmarneeds02,6401
happening,6400
amid,6379
pin,6366
more,6330
world,6280
rain,6239
peaceful,6234
lives,6233
dawn,6211
other,6183
private,6130
hospitals,6097
care,6095
3rd,6090
country,6055
many,6048
mya,6048
over,6024
07,6019
july10coup,6016
save,6009
justice,5970
abductions,5938
capacity,5905
healthcare,5889
went,5884
amidst,5881
citizens,5866
young,5863
10,5858
while,5831
factories,5808
his,5783
main,5713
last,5704
yebyu,5683
milkteaalliance,5670
chaung,5605
didn,5559
killed,5546
just,5504
prayer,5488
sit,5485
amyint,5484
want,5455
enough,5421
unrelenting,5410
part,5387
cut,5368
leaders,5360
thayetchaung,5330
dying,5327
campaign,5320
guerilla,5293
if,5287
do,5278
during,5270
every,5239
show,5229
hospital,5214
going,5160
hard,5141
yinmarpin,5131
reason,5116
evil,5097
one,5089
medical,5088
division,5070
family,5049
your,5047
least,5018
vaccines,5010
government,5005
marching,4977
dreadfulcovidamidmilitarycoup,4976
sharing,4966
monks,4951
thayet,4913
control,4902
had,4846
really,4842
local,4805
un_hrc,4798
rules,4770
kanpauk,4725
again,4688
another,4608
hands,4602
longlone,4585
station,4513
sitpye,4499
face,4476
what,4470
set,4439
system,4425
strong,4414
dagon,4414
early,4398
still,4395
refill,4384
immediate,4383
holding,4371
brutal,4306
kani,4289
