word,count
coronavirus,149863
covid19,70870
covid,55116
19,53802
people,33514
amp,23646
us,19007
trump,17602
via,17124
get,16408
pandemic,16404
home,16240
new,15541
cases,15271
need,14734
like,14695
stay,14627
help,14456
time,14242
please,14218
one,13241
virus,13051
health,11722
news,11277
know,9764
crisis,9647
spread,9576
world,9409
would,9292
going,9060
go,8992
lockdown,8881
work,8856
take,8789
support,8357
still,8356
government,8354
good,8092
outbreak,8067
due,7910
see,7795
realdonaldtrump,7752
could,7689
day,7597
let,7504
china,7495
stop,7454
first,7403
says,7345
today,7272
right,7171
many,7159
even,6986
make,6839
bill,6836
positive,6830
re,6650
country,6639
social,6612
think,6596
care,6556
may,6451
italy,6430
times,6264
keep,6199
state,6196
well,6083
safe,6040
coronaviruspandemic,5988
fight,5987
also,5878
read,5842
response,5808
back,5801
testing,5747
everyone,5744
must,5722
president,5662
days,5647
workers,5607
said,5604
uk,5568
public,5534
want,5524
way,5486
test,5460
really,5441
live,5362
family,5243
much,5205
say,5170
friends,5118
thank,5117
self,5113
great,5093
medical,5061
life,5007
2020,4934
deaths,4932
week,4923
got,4915
death,4912
000,4907
business,4851
quarantine,4729
every,4651
trying,4641
working,4635
corona,4599
free,4592
hope,4483
man,4460
use,4414
update,4413
march,4382
amid,4380
tested,4359
god,4324
latest,4310
come,4303
lives,4299
distancing,4249
share,4235
americans,4219
last,4217
emergency,4016
things,4014
india,4012
democrats,4010
real,3982
give,3970
call,3926
patients,3889
look,3840
thing,3839
economy,3831
getting,3825
information,3824
better,3796
money,3795
confirmed,3787
thanks,3785
protect,3742
weeks,3738
around,3731
relief,3715
order,3705
needs,3701
two,3668
tests,3656
watch,3655
put,3653
case,3639
risk,3588
number,3586
best,3506
die,3502
love,3500
together,3499
important,3494
daily,3477
hospital,3457
already,3455
businesses,3434
year,3419
video,3392
ca,3387
never,3360
stayhome,3347
symptoms,3341
taking,3330
american,3293
house,3289
america,3276
global,3271
measures,3271
updates,3270
chinese,3257
essential,3243
long,3210
dr,3185
anyone,3173
media,3173
made,3162
done,3154
sign,3144
save,3142
open,3139
ve,3089
community,3086
bad,3086
next,3068
check,3067
senate,3061
total,3052
another,3045
someone,3034
advice,3030
without,3030
staff,3030
enough,3020
shit,3016
job,3016
close,3001
10,3001
place,2999
others,2989
situation,2973
sure,2918
away,2916
big,2900
face,2882
states,2881
stimulus,2868
online,2864
doctors,2858
nothing,2850
something,2842
infected,2820
since,2810
disease,2809
masks,2801
end,2800
person,2797
countries,2780
food,2779
find,2769
isolation,2708
part,2705
tell,2692
follow,2686
sick,2685
hands,2684
economic,2671
old,2662
youtube,2659
closed,2655
na,2654
making,2631
listen,2618
might,2615
national,2613
impact,2612
county,2587
coming,2584
covidiots,2584
nigeria,2574
ever,2569
stand,2569
data,2568
yet,2561
city,2554
change,2549
fuck,2538
months,2533
start,2514
flu,2496
full,2494
across,2491
shut,2489
italian,2483
hospitals,2477
show,2466
healthcare,2462
pay,2455
local,2442
york,2428
23,2424
act,2415
socialdistancing,2414
everything,2408
feel,2406
pm,2406
monday,2388
package,2380
gop,2378
govt,2378
using,2372
hard,2369
article,2354
million,2335
soon,2335
far,2333
years,2331
post,2331
seriously,2325
yes,2306
believe,2289
pelosi,2288
services,2285
plan,2283
breaking,2277
